customer_id,industry,company_size,geography,subscription_tier,tenure_months,mrr,billing_frequency,discount_used,payment_delays,daily_active_users,feature_adoption_rate,avg_session_length,time_to_value_days,open_support_tickets,avg_resolution_time_hours,nps_score,support_sentiment,last_login_days,logins_last_7_days,logins_last_30_days,churn,engagement_delta,inactivity_streak,support_friction_index
CUST0064,Healthcare,Small,USA,Basic,24,844.11,Monthly,0,1,64,0.86,69.57,53,0,108.36,-22,-0.4,34,15,68,0,-2,27,0
CUST0065,Healthcare,Small,USA,Basic,2,352.87,Monthly,0,0,79,0.29,5.56,60,0,61.49,87,0.09,16,18,5,0,16.75,9,0
CUST0066,Retail,Small,Canada,Professional,40,960.4,Monthly,0,4,78,0.07,12.82,59,5,49.85,61,-0.13,45,22,114,0,-6.5,38,249.25
CUST0067,Healthcare,Large,Australia,Basic,15,129.34,Monthly,1,5,19,0.26,19.87,36,9,104.07,-65,-0.45,41,26,64,0,10,34,936.63
CUST0068,Healthcare,Large,Australia,Professional,32,1885.92,Monthly,0,0,15,0.1,37.37,17,6,89.35,-39,0.95,44,10,58,0,-4.5,37,536.1
CUST0069,Retail,Medium,USA,Basic,39,168.15,Monthly,1,1,6,0.15,76.43,37,9,113.93,28,-0.48,53,6,111,0,-21.75,46,1025.37
CUST0070,Retail,Medium,India,Professional,59,888.14,Annual,0,2,73,0.46,32.47,44,9,112.87,-16,-0.38,3,26,27,0,19.25,0,1015.83
CUST0071,Technology,Medium,Canada,Enterprise,6,1069.16,Monthly,1,0,84,0.27,59.61,9,0,46.5,-59,-0.68,10,12,17,0,7.75,3,0
CUST0072,Education,Small,Australia,Basic,1,1970.9,Monthly,0,3,98,0.54,64.42,58,8,54.19,-100,0.65,46,18,87,0,-3.75,39,433.52
CUST0073,Education,Small,USA,Professional,47,348.72,Monthly,1,2,38,0.29,53.58,20,3,31.46,-47,0.17,14,16,76,0,-3,7,94.38
CUST0074,Healthcare,Large,Australia,Enterprise,23,246.57,Monthly,0,3,26,0.94,33.44,45,4,79.62,74,0.23,29,25,96,0,1,22,318.48
CUST0075,Education,Small,Canada,Basic,58,37.24,Monthly,0,3,82,0.91,52.78,57,1,44.38,-1,0.64,23,24,9,0,21.75,16,44.38
CUST0076,Healthcare,Small,Canada,Basic,39,328.03,Monthly,0,3,92,0.59,32.12,28,9,94.55,-62,-0.31,1,27,6,0,25.5,0,850.95
CUST0077,Technology,Small,UK,Basic,57,430.4,Annual,0,0,51,0.39,9.38,50,7,15.46,57,-0.61,42,21,36,0,12,35,108.22
CUST0078,Retail,Medium,USA,Professional,17,1268.55,Monthly,1,4,73,0.41,89.37,20,1,14.85,-94,-0.6,33,12,95,0,-11.75,26,14.85
CUST0079,Retail,Medium,Canada,Professional,34,455.02,Monthly,0,2,96,0.44,13.19,41,2,25.33,49,0.47,22,28,44,0,17,15,50.66
CUST0080,Retail,Large,UK,Enterprise,59,60.63,Monthly,0,1,53,0.74,8.37,36,8,11.03,20,0.23,30,11,85,0,-10.25,23,88.24
CUST0081,Education,Small,UK,Professional,41,1656.7,Monthly,0,4,56,0.48,79.31,53,1,74.78,77,-0.59,36,6,15,0,2.25,29,74.78
CUST0082,Technology,Small,Australia,Professional,29,743.88,Monthly,0,0,59,0.86,28.56,27,5,18.53,-56,-0.71,12,0,87,0,-21.75,5,92.65
CUST0083,Education,Large,Australia,Basic,9,720.32,Annual,0,3,70,0.95,59.23,8,3,20.04,-27,-0.76,32,0,115,0,-28.75,25,60.12
CUST0084,Education,Small,UK,Basic,13,618.91,Monthly,1,1,78,0.37,30.95,32,6,2.69,19,0.26,6,19,117,0,-10.25,0,16.14
CUST0085,Technology,Small,Australia,Basic,6,1951.24,Annual,0,2,92,0.58,36.45,1,5,94.07,-29,-1,31,22,13,0,18.75,24,470.35
CUST0086,Technology,Medium,Canada,Basic,6,356.83,Annual,1,4,58,0.14,25.07,17,9,97.66,37,-0.96,6,13,10,0,10.5,0,878.94
CUST0087,Technology,Large,India,Basic,20,1798.51,Annual,0,5,88,0.24,32.19,57,8,20.28,41,-0.22,41,26,82,0,5.5,34,162.24
CUST0088,Technology,Large,Canada,Basic,52,1558.07,Monthly,0,4,13,0.44,38.14,9,8,89,-55,0.38,37,14,86,1,-7.5,30,712
CUST0089,Retail,Large,UK,Basic,53,171.43,Monthly,1,1,43,0.25,65.4,20,9,52.59,22,0.39,51,10,33,0,1.75,44,473.31
CUST0090,Finance,Large,UK,Enterprise,3,1973.72,Monthly,0,0,76,0.88,47.02,45,3,29.51,17,-0.14,43,23,59,0,8.25,36,88.53
CUST0091,Finance,Medium,Canada,Enterprise,17,557.3,Monthly,0,2,51,0.2,85.03,32,0,74.94,-26,0.38,12,25,103,0,-0.75,5,0
CUST0092,Technology,Medium,Australia,Enterprise,49,215.19,Monthly,0,1,19,0.48,5.69,2,1,22.24,-95,0.04,23,8,12,0,5,16,22.24
CUST0093,Finance,Small,Australia,Enterprise,12,1662.04,Annual,0,3,21,0.63,46.27,32,7,91.07,-80,0.95,27,16,38,0,6.5,20,637.49
CUST0094,Finance,Small,UK,Basic,48,1419.22,Monthly,0,2,91,0.71,53.41,45,9,6.67,89,-0.68,31,3,43,0,-7.75,24,60.03
CUST0095,Technology,Small,USA,Enterprise,47,1242.09,Monthly,1,4,83,0.41,82.98,9,7,115.14,46,0.2,42,19,27,0,12.25,35,805.98
CUST0096,Finance,Small,Australia,Basic,45,328.84,Monthly,0,1,24,0.88,6.33,30,1,9.55,2,-0.02,17,18,39,0,8.25,10,9.55
CUST0097,Education,Medium,Canada,Enterprise,55,967.42,Monthly,0,4,26,0.59,52.47,20,3,69.95,-13,-0.61,33,6,15,0,2.25,26,209.85
CUST0098,Healthcare,Large,Australia,Professional,1,1565.5,Monthly,1,4,45,0.47,77.12,38,0,108.36,-2,0.5,47,0,49,1,-12.25,40,0
CUST0099,Healthcare,Medium,Canada,Enterprise,17,621.18,Annual,1,4,28,0.11,23.29,60,6,2.42,-39,-0.45,33,8,114,0,-20.5,26,14.52
CUST0100,Technology,Small,UK,Enterprise,3,637.15,Monthly,0,0,82,0.49,79.11,1,3,60.32,6,-0.24,50,12,27,0,5.25,43,180.96
CUST0101,Retail,Medium,Australia,Basic,26,26.22,Annual,0,4,29,0.83,3.68,60,7,42.65,-18,-0.25,37,23,67,0,6.25,30,298.55
CUST0102,Technology,Large,Canada,Enterprise,15,365,Annual,0,3,17,0.63,66.46,57,8,70.06,80,-0.51,0,1,91,0,-21.75,0,560.48
CUST0103,Retail,Large,UK,Professional,36,1753.3,Annual,1,3,68,0.84,84.11,5,8,27.83,51,-0.14,42,1,59,0,-13.75,35,222.64
CUST0104,Healthcare,Medium,USA,Basic,32,894.66,Monthly,1,2,44,0.52,59.83,35,2,8.72,-45,-0.05,49,23,11,0,20.25,42,17.44
CUST0105,Technology,Medium,Canada,Basic,32,1968.78,Annual,0,5,61,0.16,40.63,36,4,75.49,89,0.49,41,26,15,0,22.25,34,301.96
CUST0106,Education,Medium,USA,Enterprise,4,803.5,Monthly,0,4,93,0.06,5.95,1,5,50.61,61,0.53,30,29,52,0,16,23,253.05
CUST0107,Finance,Small,USA,Basic,18,1436.07,Monthly,0,4,68,0.34,82.97,14,5,75.08,-79,-0.68,49,14,53,0,0.75,42,375.4
CUST0108,Retail,Medium,India,Basic,49,578.2,Monthly,1,1,74,0.71,43.39,9,9,26.05,-33,0.19,59,16,48,1,4,52,234.45
CUST0109,Finance,Medium,Australia,Basic,19,740.34,Monthly,0,0,25,0.8,4.55,30,7,41.31,84,0.79,0,12,35,0,3.25,0,289.17
CUST0110,Finance,Medium,Canada,Basic,43,397.64,Monthly,1,5,95,0.33,62.7,24,5,67.84,-91,-0.78,50,6,61,0,-9.25,43,339.2
CUST0111,Technology,Large,USA,Basic,52,707.18,Monthly,1,2,67,0.52,44.4,4,5,71.58,-35,-0.05,15,8,83,0,-12.75,8,357.9
CUST0112,Finance,Large,India,Basic,35,1103.53,Monthly,0,5,2,0.45,12.94,50,3,45.31,-93,0.5,57,11,25,0,4.75,50,135.93
CUST0113,Education,Small,UK,Professional,40,1983.71,Annual,0,4,89,0.44,20.86,14,6,34.33,22,0.22,38,2,55,0,-11.75,31,205.98
CUST0114,Finance,Small,Canada,Enterprise,14,1335.12,Monthly,0,1,49,0.27,7.68,25,7,33.57,-63,-0.8,14,22,119,0,-7.75,7,234.99
CUST0115,Technology,Large,USA,Professional,58,414.51,Monthly,0,0,70,0.18,52.54,4,2,21.79,22,-0.21,32,21,89,0,-1.25,25,43.58
CUST0116,Education,Large,Australia,Basic,33,109.02,Monthly,0,2,26,0.24,56.74,25,6,39.72,-39,0.01,22,14,21,0,8.75,15,238.32
CUST0117,Healthcare,Large,India,Basic,14,270.19,Monthly,0,5,72,0.1,46.51,10,2,24.73,55,0.99,52,6,119,0,-23.75,45,49.46
CUST0118,Finance,Medium,USA,Enterprise,34,1133.86,Annual,1,2,99,0.24,73.9,35,7,76.42,37,-0.64,40,22,72,0,4,33,534.94
CUST0119,Technology,Medium,Australia,Professional,55,1535.02,Monthly,1,4,27,0.06,77.77,55,0,68.72,-56,0.96,33,25,68,0,8,26,0
CUST0120,Healthcare,Large,USA,Enterprise,4,1882.03,Monthly,0,2,89,0.65,56.17,7,0,46.53,-36,-0.25,16,0,80,0,-20,9,0
CUST0121,Healthcare,Medium,Canada,Professional,24,51.33,Monthly,0,1,18,0.35,3.12,42,5,39.77,-34,-0.6,24,13,48,0,1,17,198.85
CUST0122,Retail,Medium,Canada,Basic,59,1055.07,Annual,0,2,54,0.97,63.18,13,9,29.28,36,-0.17,55,18,97,0,-6.25,48,263.52
CUST0123,Education,Small,Canada,Enterprise,29,952.32,Monthly,1,3,1,0.23,38.78,4,8,64.72,32,0.23,41,15,1,0,14.75,34,517.76
CUST0124,Finance,Large,India,Enterprise,19,1318.99,Annual,1,1,61,0.38,51.77,50,3,110.35,5,-0.57,5,9,52,0,-4,0,331.05
CUST0125,Technology,Large,Canada,Basic,6,1127.97,Monthly,0,5,3,0.39,59.12,43,5,82.6,37,-0.42,30,0,118,0,-29.5,23,413
CUST0126,Retail,Medium,Australia,Enterprise,57,1380.34,Monthly,0,0,68,0.06,32.82,57,4,89.59,39,0.71,4,4,6,0,2.5,0,358.36
CUST0127,Education,Large,USA,Professional,33,1323,Monthly,0,0,41,0.85,82.7,36,0,100.29,-19,1,39,2,99,0,-22.75,32,0
CUST0128,Retail,Small,UK,Professional,49,251.68,Annual,0,4,37,0.08,13.79,56,5,42.84,-43,-0.36,39,16,76,1,-3,32,214.2
CUST0129,Education,Small,Australia,Professional,40,1603.44,Monthly,0,4,51,0.94,61.09,14,8,8.48,48,-0.7,29,17,19,0,12.25,22,67.84
CUST0130,Education,Small,Australia,Professional,19,264,Monthly,1,3,15,0.9,2.38,18,2,75.08,48,0.59,4,25,93,0,1.75,0,150.16
CUST0131,Finance,Large,Canada,Basic,53,1403.09,Monthly,1,5,8,0.56,83.37,8,2,23.45,92,0.2,11,20,29,0,12.75,4,46.9
CUST0132,Education,Large,India,Enterprise,1,843.97,Monthly,0,0,38,0.57,11.9,32,1,68.72,30,-0.8,6,26,74,0,7.5,0,68.72
CUST0133,Retail,Large,USA,Professional,5,1037.42,Monthly,1,0,83,0.67,10.35,27,3,89,-32,0.89,44,18,94,0,-5.5,37,267
CUST0134,Education,Large,India,Basic,27,1808.53,Annual,1,0,56,0.42,31.3,42,9,94.25,-12,-0.84,12,21,66,0,4.5,5,848.25
CUST0135,Finance,Large,USA,Enterprise,16,1781.97,Monthly,0,0,47,0.66,34.87,37,2,36.92,-37,0.25,48,24,58,1,9.5,41,73.84
CUST0136,Finance,Small,USA,Enterprise,6,1639.36,Monthly,0,2,90,0.09,20.86,23,1,61.98,76,-0.15,3,21,65,0,4.75,0,61.98
CUST0137,Retail,Medium,India,Basic,40,1030.09,Annual,1,5,10,0.1,53.49,7,0,74.89,-29,0.11,49,17,111,0,-10.75,42,0
CUST0138,Healthcare,Small,Australia,Basic,13,1477.75,Monthly,0,1,78,0.48,40.98,12,2,98.52,-84,-0.57,41,15,2,0,14.5,34,197.04
CUST0139,Healthcare,Large,USA,Professional,48,1035.54,Monthly,1,1,49,0.57,5.01,25,9,91.61,-28,0.38,2,1,55,0,-12.75,0,824.49
CUST0140,Education,Small,India,Enterprise,35,1741.82,Monthly,1,3,41,0.89,30.13,3,5,118.57,59,0.92,11,14,78,0,-5.5,4,592.85
CUST0141,Technology,Large,USA,Enterprise,19,817.5,Monthly,1,2,83,0.15,73.32,26,8,1.96,-31,-0.08,0,12,16,0,8,0,15.68
CUST0142,Education,Large,UK,Basic,12,1941.07,Monthly,1,0,30,0.83,62.69,4,4,53.06,12,0.05,26,12,111,0,-15.75,19,212.24
CUST0143,Retail,Small,Australia,Enterprise,16,1866,Monthly,1,0,5,0.25,65.79,42,2,31.47,-80,-0.52,42,15,51,0,2.25,35,62.94
CUST0144,Retail,Large,Canada,Professional,59,1488.37,Monthly,1,4,95,0.42,63.43,36,4,15.27,34,0.78,49,7,6,0,5.5,42,61.08
CUST0145,Retail,Medium,USA,Enterprise,43,573.24,Monthly,0,4,71,0.35,29.37,15,4,109.47,-94,0.94,12,10,111,0,-17.75,5,437.88
CUST0146,Retail,Large,UK,Basic,10,280.67,Annual,0,3,83,0.43,10.77,32,4,119.76,10,0.57,16,7,4,0,6,9,479.04
CUST0147,Retail,Medium,Canada,Basic,25,1712.31,Annual,0,0,31,0.19,25.98,29,6,22.49,-74,0.09,7,21,97,0,-3.25,0,134.94
CUST0148,Finance,Medium,Canada,Professional,20,347.3,Annual,1,3,52,0.53,75.2,10,4,5.57,-93,0.91,31,9,96,0,-15,24,22.28
CUST0149,Healthcare,Large,USA,Professional,31,1711.44,Annual,0,2,88,0.81,88.28,21,6,33.73,100,-0.69,19,22,53,0,8.75,12,202.38
CUST0150,Retail,Small,India,Enterprise,4,991.71,Monthly,0,1,98,0.47,45.46,54,8,100.35,-73,-0.04,50,0,60,0,-15,43,802.8
CUST0151,Technology,Medium,USA,Enterprise,44,824.98,Annual,0,0,23,0.52,2.85,16,4,35.97,93,0.08,16,11,108,0,-16,9,143.88
CUST0152,Technology,Small,UK,Basic,23,1808.32,Monthly,1,5,48,0.86,14.32,47,1,7.77,98,-0.02,33,8,15,0,4.25,26,7.77
CUST0153,Technology,Medium,Canada,Professional,2,1215.62,Monthly,1,2,40,0.72,30.34,19,4,7.25,-54,0.6,34,4,100,0,-21,27,29
CUST0154,Technology,Large,USA,Professional,56,1161.7,Monthly,1,0,6,0.52,52.92,29,7,51.86,-15,0.34,34,8,66,0,-8.5,27,363.02
CUST0155,Finance,Large,India,Professional,22,1126.36,Monthly,0,5,38,0.29,8.61,52,3,111.89,-91,-0.75,37,15,58,0,0.5,30,335.67
CUST0156,Technology,Medium,USA,Enterprise,51,754.92,Annual,1,4,41,0.89,85.02,51,1,35.02,13,-0.31,41,17,46,1,5.5,34,35.02
CUST0157,Retail,Large,Australia,Professional,57,1575.57,Annual,1,3,27,0.6,34.13,18,9,51.83,-68,-0.32,23,29,47,0,17.25,16,466.47
CUST0158,Education,Medium,India,Basic,37,520.54,Monthly,0,4,75,0.26,82.31,58,2,13.13,34,0.13,53,7,106,0,-19.5,46,26.26
CUST0159,Technology,Large,UK,Basic,8,1879.01,Annual,0,1,69,0.31,70.69,44,8,59.74,30,-0.42,17,22,114,0,-6.5,10,477.92
CUST0160,Finance,Small,Canada,Enterprise,7,1790.09,Monthly,0,4,57,0.81,68.48,57,8,83.89,-87,-0.77,49,10,63,0,-5.75,42,671.12
CUST0161,Finance,Large,USA,Enterprise,14,688.21,Monthly,1,0,17,0.09,55.39,16,7,33.27,71,0.31,45,29,49,0,16.75,38,232.89
CUST0162,Technology,Small,India,Professional,56,1464.34,Monthly,0,5,71,0.99,57.16,1,7,36.31,-55,0.7,47,19,84,0,-2,40,254.17
CUST0163,Education,Large,Australia,Enterprise,55,1154.98,Monthly,0,4,91,0.17,58.14,48,7,101.2,-40,0.86,38,18,40,0,8,31,708.4
CUST0164,Technology,Small,India,Basic,3,688.55,Annual,1,0,47,0.81,57.33,2,7,2.23,63,0.95,32,3,71,0,-14.75,25,15.61
CUST0165,Finance,Large,Australia,Professional,50,1977.27,Annual,0,1,79,0.43,50.73,56,7,76.74,-88,0.56,48,19,21,0,13.75,41,537.18
CUST0166,Healthcare,Small,UK,Basic,16,69.97,Annual,0,5,13,0.52,88.8,15,0,47.87,-85,-0.72,22,25,114,0,-3.5,15,0
CUST0167,Retail,Medium,Canada,Professional,55,520.24,Monthly,0,4,11,0.89,66.44,39,5,36.51,32,0.71,24,9,53,0,-4.25,17,182.55
CUST0168,Finance,Medium,UK,Enterprise,19,1049.75,Annual,0,3,90,0.44,70.37,28,8,79.25,-63,-0.2,36,23,4,0,22,29,634
CUST0169,Technology,Small,USA,Professional,51,1053.47,Monthly,1,3,86,0.56,78.78,1,7,100.33,77,0.46,26,12,16,0,8,19,702.31
CUST0170,Retail,Large,India,Professional,18,1186.09,Annual,0,5,92,0.1,20.98,5,2,67.45,-63,0.06,0,28,100,0,3,0,134.9
CUST0171,Technology,Small,Australia,Basic,52,1508.32,Monthly,0,3,24,0.05,9.37,42,0,4.7,2,0.66,20,19,77,0,-0.25,13,0
CUST0172,Technology,Large,Australia,Basic,16,1254.49,Monthly,0,4,93,0.28,44.49,22,1,55.91,-45,-0.15,58,13,102,0,-12.5,51,55.91
